S000000027	YAL029C	MYO4	ORF	DOID:0060775	microvillus inclusion disease	ISS		HGNC:7603	manually curated	25860149	Menconi G, et al. (2015) Global mapping of DNA conformational flexibility on Saccharomyces cerevisiae. PLoS Comput Biol 11(4):e1004136
S000000116	YBL020W	RFT1	ORF	DOID:162	cancer	IGI		HGNC:18276	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000116	YBL020W	RFT1	ORF	DOID:162	cancer	ISS		HGNC:18276	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000126	YBL030C	PET9	ORF	DOID:0080132	Sengers syndrome	ISS		HGNC:10990	manually curated	29688796	Ogunbona OB, et al. (2018) Cardiomyopathy-associated mutation in the ADP/ATP carrier reveals translation-dependent regulation of cytochrome c oxidase activity. Mol Biol Cell 29(12):1449-1464
S000000126	YBL030C	PET9	ORF	DOID:0111517	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2	IGI		HGNC:10990	manually curated	16438935	Lodi T, et al. (2006) Mutation D104G in ANT1 gene: complementation study in Saccharomyces cerevisiae as a model system. Biochem Biophys Res Commun 341(3):810-5
S000000126	YBL030C	PET9	ORF	DOID:0111517	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2	IMP			manually curated	25833713	Liu Y, et al. (2015) Misfolding of mutant adenine nucleotide translocase in yeast supports a novel mechanism of Ant1-induced muscle diseases. Mol Biol Cell 26(11):1985-94
S000000126	YBL030C	PET9	ORF	DOID:0111517	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2	IMP			manually curated	28947214	
S000000126	YBL030C	PET9	ORF	DOID:0111517	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2	IMP			manually curated	33923309	
S000000126	YBL030C	PET9	ORF	DOID:0111517	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2	ISS		HGNC:10990	manually curated	16438935	Lodi T, et al. (2006) Mutation D104G in ANT1 gene: complementation study in Saccharomyces cerevisiae as a model system. Biochem Biophys Res Commun 341(3):810-5
S000000126	YBL030C	PET9	ORF	DOID:0111517	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2	ISS		HGNC:10990	manually curated	25833713	Liu Y, et al. (2015) Misfolding of mutant adenine nucleotide translocase in yeast supports a novel mechanism of Ant1-induced muscle diseases. Mol Biol Cell 26(11):1985-94
S000000126	YBL030C	PET9	ORF	DOID:0111517	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2	ISS		HGNC:10990	manually curated	28947214	
S000000126	YBL030C	PET9	ORF	DOID:0111517	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2	ISS		HGNC:10990	manually curated	33923309	
S000000126	YBL030C	PET9	ORF	DOID:11727	facioscapulohumeral muscular dystrophy	ISS		HGNC:10990	manually curated	29688796	Ogunbona OB, et al. (2018) Cardiomyopathy-associated mutation in the ADP/ATP carrier reveals translation-dependent regulation of cytochrome c oxidase activity. Mol Biol Cell 29(12):1449-1464
S000000126	YBL030C	PET9	ORF	DOID:11984	hypertrophic cardiomyopathy	IMP			manually curated	29688796	Ogunbona OB, et al. (2018) Cardiomyopathy-associated mutation in the ADP/ATP carrier reveals translation-dependent regulation of cytochrome c oxidase activity. Mol Biol Cell 29(12):1449-1464
S000000126	YBL030C	PET9	ORF	DOID:11984	hypertrophic cardiomyopathy	ISS		HGNC:10990	manually curated	29688796	Ogunbona OB, et al. (2018) Cardiomyopathy-associated mutation in the ADP/ATP carrier reveals translation-dependent regulation of cytochrome c oxidase activity. Mol Biol Cell 29(12):1449-1464
S000000126	YBL030C	PET9	ORF	DOID:3650	lactic acidosis	ISS		HGNC:10990	manually curated	29688796	Ogunbona OB, et al. (2018) Cardiomyopathy-associated mutation in the ADP/ATP carrier reveals translation-dependent regulation of cytochrome c oxidase activity. Mol Biol Cell 29(12):1449-1464
S000000126	YBL030C	PET9	ORF	DOID:699	mitochondrial myopathy	ISS		HGNC:10990	manually curated	29688796	Ogunbona OB, et al. (2018) Cardiomyopathy-associated mutation in the ADP/ATP carrier reveals translation-dependent regulation of cytochrome c oxidase activity. Mol Biol Cell 29(12):1449-1464
S000000132	YBL036C		ORF	DOID:0080769	early-onset vitamin B6-dependent epilepsy	IGI		HGNC:9457	manually curated	30668673	Johnstone DL, et al. (2019) PLPHP deficiency: clinical, genetic, biochemical, and mechanistic insights. Brain 142(3):542-559
S000000132	YBL036C		ORF	DOID:0080769	early-onset vitamin B6-dependent epilepsy	ISS		HGNC:9457	manually curated	30668673	Johnstone DL, et al. (2019) PLPHP deficiency: clinical, genetic, biochemical, and mechanistic insights. Brain 142(3):542-559
S000000164	YBL068W	PRS4	ORF	DOID:8501	fundus dystrophy	ISS		HGNC:9462	manually curated	24961627	Al-Maawali A, et al. (2015) Prenatal growth restriction, retinal dystrophy, diabetes insipidus and white matter disease: expanding the spectrum of PRPS1-related disorders. Eur J Hum Genet 23(3):310-6
S000000164	YBL068W	PRS4	ORF	DOID:9409	diabetes insipidus	ISS		HGNC:9462	manually curated	24961627	Al-Maawali A, et al. (2015) Prenatal growth restriction, retinal dystrophy, diabetes insipidus and white matter disease: expanding the spectrum of PRPS1-related disorders. Eur J Hum Genet 23(3):310-6
S000000176	YBL080C	PET112	ORF	DOID:0050700	cardiomyopathy	IMP			manually curated	30283131	
S000000176	YBL080C	PET112	ORF	DOID:0050700	cardiomyopathy	ISS		HGNC:8849	manually curated	30283131	
S000000178	YBL082C	ALG3	ORF	DOID:0080556	congenital disorder of glycosylation Id	IMP			manually curated	23038983	Bailey UM, et al. (2012) Analysis of congenital disorder of glycosylation-Id in a yeast model system shows diverse site-specific under-glycosylation of glycoproteins. J Proteome Res 11(11):5376-83
S000000178	YBL082C	ALG3	ORF	DOID:0080556	congenital disorder of glycosylation Id	ISS		HGNC:23056	manually curated	23038983	Bailey UM, et al. (2012) Analysis of congenital disorder of glycosylation-Id in a yeast model system shows diverse site-specific under-glycosylation of glycoproteins. J Proteome Res 11(11):5376-83
S000000178	YBL082C	ALG3	ORF	DOID:5212	congenital disorder of glycosylation	IGI		HGNC:23056	manually curated	10581255	Körner C, et al. (1999) Carbohydrate deficient glycoprotein syndrome type IV: deficiency of dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase. EMBO J 18(23):6816-22
S000000178	YBL082C	ALG3	ORF	DOID:5212	congenital disorder of glycosylation	ISS		HGNC:23056	manually curated	10581255	Körner C, et al. (1999) Carbohydrate deficient glycoprotein syndrome type IV: deficiency of dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase. EMBO J 18(23):6816-22
S000000184	YBL088C	TEL1	ORF	DOID:12704	ataxia telangiectasia	IMP			manually curated	24653001	Li X, et al. (2014) Synthetic cytotoxicity: digenic interactions with TEL1/ATM mutations reveal sensitivity to low doses of camptothecin. Genetics 197(2):611-23
S000000184	YBL088C	TEL1	ORF	DOID:12704	ataxia telangiectasia	IMP			manually curated	29606760	Alugoju P, et al. (2018) Quercetin enhances stress resistance in Saccharomyces cerevisiae tel1 mutant cells to different stressors. J Food Sci Technol 55(4):1455-1466
S000000184	YBL088C	TEL1	ORF	DOID:12704	ataxia telangiectasia	ISS		HGNC:795	manually curated	24653001	Li X, et al. (2014) Synthetic cytotoxicity: digenic interactions with TEL1/ATM mutations reveal sensitivity to low doses of camptothecin. Genetics 197(2):611-23
S000000184	YBL088C	TEL1	ORF	DOID:12704	ataxia telangiectasia	ISS		HGNC:795	manually curated	29606760	Alugoju P, et al. (2018) Quercetin enhances stress resistance in Saccharomyces cerevisiae tel1 mutant cells to different stressors. J Food Sci Technol 55(4):1455-1466
S000000184	YBL088C	TEL1	ORF	DOID:162	cancer	IMP			manually curated	30700905	Coelho MC, et al. (2019) Heterozygous mutations cause genetic instability in a yeast model of cancer evolution. Nature 566(7743):275-278
S000000184	YBL088C	TEL1	ORF	DOID:162	cancer	ISS		HGNC:795	manually curated	30700905	Coelho MC, et al. (2019) Heterozygous mutations cause genetic instability in a yeast model of cancer evolution. Nature 566(7743):275-278
S000000184	YBL088C	TEL1	ORF	DOID:162	cancer	ISS		HGNC:795	manually curated	32187176	Hohl M, et al. (2020) Modeling cancer genomic data in yeast reveals selection against ATM function during tumorigenesis. PLoS Genet 16(3):e1008422
S000000206	YBR002C	RER2	ORF	DOID:162	cancer	IGI		HGNC:20603	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000206	YBR002C	RER2	ORF	DOID:162	cancer	ISS		HGNC:20603	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000222	YBR018C	GAL7	ORF	DOID:9870	galactosemia	IGI		HGNC:12527	manually curated	10799308	Lai K and Elsas LJ (2000) Overexpression of human UDP-glucose pyrophosphorylase rescues galactose-1-phosphate uridyltransferase-deficient yeast. Biochem Biophys Res Commun 271(2):392-400
S000000222	YBR018C	GAL7	ORF	DOID:9870	galactosemia	IMP			manually curated	24077966	De-Souza EA, et al. (2014) The unfolded protein response has a protective role in yeast models of classic galactosemia. Dis Model Mech 7(1):55-61
S000000222	YBR018C	GAL7	ORF	DOID:9870	galactosemia	IMP			manually curated	28213126	Machado CM, et al. (2017) The galactose-induced decrease in phosphate levels leads to toxicity in yeast models of galactosemia. Biochim Biophys Acta 1863(6):1403-1409
S000000222	YBR018C	GAL7	ORF	DOID:9870	galactosemia	ISS		HGNC:12527	manually curated	10799308	Lai K and Elsas LJ (2000) Overexpression of human UDP-glucose pyrophosphorylase rescues galactose-1-phosphate uridyltransferase-deficient yeast. Biochem Biophys Res Commun 271(2):392-400
S000000222	YBR018C	GAL7	ORF	DOID:9870	galactosemia	ISS		HGNC:4135	manually curated	24077966	De-Souza EA, et al. (2014) The unfolded protein response has a protective role in yeast models of classic galactosemia. Dis Model Mech 7(1):55-61
S000000222	YBR018C	GAL7	ORF	DOID:9870	galactosemia	ISS		HGNC:4135	manually curated	28213126	Machado CM, et al. (2017) The galactose-induced decrease in phosphate levels leads to toxicity in yeast models of galactosemia. Biochim Biophys Acta 1863(6):1403-1409
S000000222	YBR018C	GAL7	ORF	DOID:9870	galactosemia	ISS		HGNC:4135	manually curated	8794735	Wedekind JE, et al. (1996) The structure of nucleotidylated histidine-166 of galactose-1-phosphate uridylyltransferase provides insight into phosphoryl group transfer. Biochemistry 35(36):11560-9
S000000223	YBR019C	GAL10	ORF	DOID:1588	thrombocytopenia	IGI		HGNC:4116	manually curated	30247636	Seo A, et al. (2019) Inherited thrombocytopenia associated with mutation of UDP-galactose-4-epimerase (GALE). Hum Mol Genet 28(1):133-142
S000000223	YBR019C	GAL10	ORF	DOID:1588	thrombocytopenia	ISS		HGNC:4116	manually curated	30247636	Seo A, et al. (2019) Inherited thrombocytopenia associated with mutation of UDP-galactose-4-epimerase (GALE). Hum Mol Genet 28(1):133-142
S000000223	YBR019C	GAL10	ORF	DOID:9870	galactosemia	IGI		HGNC:4116	manually curated	18188677	Chhay JS, et al. (2008) Analysis of UDP-galactose 4'-epimerase mutations associated with the intermediate form of type III galactosaemia. J Inherit Metab Dis 31(1):108-16
S000000223	YBR019C	GAL10	ORF	DOID:9870	galactosemia	IGI		HGNC:4116	manually curated	22613355	McCorvie TJ, et al. (2012) Altered cofactor binding affects stability and activity of human UDP-galactose 4'-epimerase: implications for type III galactosemia. Biochim Biophys Acta 1822(10):1516-26
S000000223	YBR019C	GAL10	ORF	DOID:9870	galactosemia	ISS		HGNC:4116	manually curated	18188677	Chhay JS, et al. (2008) Analysis of UDP-galactose 4'-epimerase mutations associated with the intermediate form of type III galactosaemia. J Inherit Metab Dis 31(1):108-16
S000000223	YBR019C	GAL10	ORF	DOID:9870	galactosemia	ISS		HGNC:4116	manually curated	22613355	McCorvie TJ, et al. (2012) Altered cofactor binding affects stability and activity of human UDP-galactose 4'-epimerase: implications for type III galactosemia. Biochim Biophys Acta 1822(10):1516-26
S000000228	YBR024W	SCO2	ORF	DOID:0050700	cardiomyopathy	IMP			manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000000228	YBR024W	SCO2	ORF	DOID:0050700	cardiomyopathy	ISS		HGNC:10604	manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000000233	YBR029C	CDS1	ORF	DOID:162	cancer	IGI		HGNC:1801	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000233	YBR029C	CDS1	ORF	DOID:162	cancer	ISS		HGNC:1801	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000240	YBR036C	CSG2	ORF	DOID:10595	Charcot-Marie-Tooth disease	IGI		HGNC:15968	manually curated	33477664	Binięda K, et al. (2021) GDAP1 Influence Structure and Function of the Trans-Golgi Network. Int J Mol Sci 22(2)
S000000241	YBR037C	SCO1	ORF	DOID:11984	hypertrophic cardiomyopathy	IMP			manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000000241	YBR037C	SCO1	ORF	DOID:11984	hypertrophic cardiomyopathy	ISS		HGNC:10603	manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000000241	YBR037C	SCO1	ORF	DOID:409	liver disease	IMP			manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000000241	YBR037C	SCO1	ORF	DOID:409	liver disease	ISS		HGNC:10603	manually curated	30038027	Soma S, et al. (2018) Elesclomol restores mitochondrial function in genetic models of copper deficiency. Proc Natl Acad Sci U S A 115(32):8161-8166
S000000265	YBR061C	TRM7	ORF	DOID:0050776	non-syndromic X-linked intellectual disability	IGI		HGNC:13254	manually curated	25404562	Guy MP and Phizicky EM (2015) Conservation of an intricate circuit for crucial modifications of the tRNAPhe anticodon loop in eukaryotes. RNA 21(1):61-74
S000000265	YBR061C	TRM7	ORF	DOID:0050776	non-syndromic X-linked intellectual disability	IGI		HGNC:13254	manually curated	26310293	Guy MP, et al. (2015) Defects in tRNA Anticodon Loop 2'-O-Methylation Are Implicated in Nonsyndromic X-Linked Intellectual Disability due to Mutations in FTSJ1. Hum Mutat 36(12):1176-87
S000000265	YBR061C	TRM7	ORF	DOID:0050776	non-syndromic X-linked intellectual disability	ISS		HGNC:13254	manually curated	25404562	Guy MP and Phizicky EM (2015) Conservation of an intricate circuit for crucial modifications of the tRNAPhe anticodon loop in eukaryotes. RNA 21(1):61-74
S000000265	YBR061C	TRM7	ORF	DOID:0050776	non-syndromic X-linked intellectual disability	ISS		HGNC:13254	manually curated	26310293	Guy MP, et al. (2015) Defects in tRNA Anticodon Loop 2'-O-Methylation Are Implicated in Nonsyndromic X-Linked Intellectual Disability due to Mutations in FTSJ1. Hum Mutat 36(12):1176-87
S000000313	YBR109C	CMD1	ORF	DOID:162	cancer	IGI		HGNC:1442	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000313	YBR109C	CMD1	ORF	DOID:162	cancer	IGI		HGNC:1445	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000313	YBR109C	CMD1	ORF	DOID:162	cancer	IGI		HGNC:1449	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000313	YBR109C	CMD1	ORF	DOID:162	cancer	ISS		HGNC:1442	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000313	YBR109C	CMD1	ORF	DOID:162	cancer	ISS		HGNC:1445	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000313	YBR109C	CMD1	ORF	DOID:162	cancer	ISS		HGNC:1449	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000314	YBR110W	ALG1	ORF	DOID:0050570	congenital disorder of glycosylation type I	IGI		HGNC:18294	manually curated	14709599	Grubenmann CE, et al. (2004) Deficiency of the first mannosylation step in the N-glycosylation pathway causes congenital disorder of glycosylation type Ik. Hum Mol Genet 13(5):535-42
S000000314	YBR110W	ALG1	ORF	DOID:0050570	congenital disorder of glycosylation type I	IGI		HGNC:18294	manually curated	14973778	Schwarz M, et al. (2004) Deficiency of GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase causes congenital disorder of glycosylation type Ik. Am J Hum Genet 74(3):472-81
S000000314	YBR110W	ALG1	ORF	DOID:0050570	congenital disorder of glycosylation type I	IGI		HGNC:18294	manually curated	22966035	Morava E, et al. (2012) Defining the phenotype in congenital disorder of glycosylation due to ALG1 mutations. Pediatrics 130(4):e1034-9
S000000314	YBR110W	ALG1	ORF	DOID:0050570	congenital disorder of glycosylation type I	ISS		HGNC:18294	manually curated	14709599	Grubenmann CE, et al. (2004) Deficiency of the first mannosylation step in the N-glycosylation pathway causes congenital disorder of glycosylation type Ik. Hum Mol Genet 13(5):535-42
S000000314	YBR110W	ALG1	ORF	DOID:0050570	congenital disorder of glycosylation type I	ISS		HGNC:18294	manually curated	14973778	Schwarz M, et al. (2004) Deficiency of GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase causes congenital disorder of glycosylation type Ik. Am J Hum Genet 74(3):472-81
S000000314	YBR110W	ALG1	ORF	DOID:0050570	congenital disorder of glycosylation type I	ISS		HGNC:18294	manually curated	22966035	Morava E, et al. (2012) Defining the phenotype in congenital disorder of glycosylation due to ALG1 mutations. Pediatrics 130(4):e1034-9
S000000314	YBR110W	ALG1	ORF	DOID:0080563	congenital disorder of glycosylation Ik	IGI		HGNC:18294	manually curated	26931382	Ng BG, et al. (2016) ALG1-CDG: Clinical and Molecular Characterization of 39 Unreported Patients. Hum Mutat 37(7):653-60
S000000314	YBR110W	ALG1	ORF	DOID:0080563	congenital disorder of glycosylation Ik	ISS		HGNC:18294	manually curated	26931382	Ng BG, et al. (2016) ALG1-CDG: Clinical and Molecular Characterization of 39 Unreported Patients. Hum Mutat 37(7):653-60
S000000314	YBR110W	ALG1	ORF	DOID:5212	congenital disorder of glycosylation	IGI		HGNC:18294	manually curated	24157261	Rohlfing AK, et al. (2014) ALG1-CDG: a new case with early fatal outcome. Gene 534(2):345-51
S000000314	YBR110W	ALG1	ORF	DOID:5212	congenital disorder of glycosylation	ISS		HGNC:18294	manually curated	24157261	Rohlfing AK, et al. (2014) ALG1-CDG: a new case with early fatal outcome. Gene 534(2):345-51
S000000322	YBR118W	TEF2	ORF	DOID:0080463	developmental and epileptic encephalopathy 33	IGI		HGNC:3192	manually curated	32196822	Carvill GL, et al. (2020) Damaging de novo missense variants in EEF1A2 lead to a developmental and degenerative epileptic-dyskinetic encephalopathy. Hum Mutat 41(7):1263-1279
S000000322	YBR118W	TEF2	ORF	DOID:0080463	developmental and epileptic encephalopathy 33	ISS		HGNC:3192	manually curated	32196822	Carvill GL, et al. (2020) Damaging de novo missense variants in EEF1A2 lead to a developmental and degenerative epileptic-dyskinetic encephalopathy. Hum Mutat 41(7):1263-1279
S000000322	YBR118W	TEF2	ORF	DOID:12930	dilated cardiomyopathy	IMP			manually curated	28911200	
S000000322	YBR118W	TEF2	ORF	DOID:12930	dilated cardiomyopathy	ISS		HGNC:3192	manually curated	28911200	
S000000322	YBR118W	TEF2	ORF	DOID:1826	epilepsy	IMP			manually curated	28911200	
S000000322	YBR118W	TEF2	ORF	DOID:1826	epilepsy	ISS		HGNC:3192	manually curated	28911200	
S000000325	YBR121C	GRS1	ORF	DOID:0110164	Charcot-Marie-Tooth disease type 2D	IGI		HGNC:4162	manually curated	24743154	Chien CI, et al. (2014) Functional substitution of a eukaryotic glycyl-tRNA synthetase with an evolutionarily unrelated bacterial cognate enzyme. PLoS One 9(4):e94659
S000000325	YBR121C	GRS1	ORF	DOID:0110164	Charcot-Marie-Tooth disease type 2D	IGI		HGNC:4162	manually curated	25168514	Griffin LB, et al. (2014) Impaired function is a common feature of neuropathy-associated glycyl-tRNA synthetase mutations. Hum Mutat 35(11):1363-71
S000000325	YBR121C	GRS1	ORF	DOID:0110164	Charcot-Marie-Tooth disease type 2D	ISS		HGNC:4162	manually curated	24743154	Chien CI, et al. (2014) Functional substitution of a eukaryotic glycyl-tRNA synthetase with an evolutionarily unrelated bacterial cognate enzyme. PLoS One 9(4):e94659
S000000325	YBR121C	GRS1	ORF	DOID:0110164	Charcot-Marie-Tooth disease type 2D	ISS		HGNC:4162	manually curated	25168514	Griffin LB, et al. (2014) Impaired function is a common feature of neuropathy-associated glycyl-tRNA synthetase mutations. Hum Mutat 35(11):1363-71
S000000325	YBR121C	GRS1	ORF	DOID:12377	spinal muscular atrophy	IGI		HGNC:4162	manually curated	32181591	Markovitz R, et al. (2020) GARS-related disease in infantile spinal muscular atrophy: Implications for diagnosis and treatment. Am J Med Genet A 182(5):1167-1176
S000000325	YBR121C	GRS1	ORF	DOID:12377	spinal muscular atrophy	ISS		HGNC:4162	manually curated	32181591	Markovitz R, et al. (2020) GARS-related disease in infantile spinal muscular atrophy: Implications for diagnosis and treatment. Am J Med Genet A 182(5):1167-1176
S000000331	YBR127C	VMA2	ORF	DOID:0050873	follicular lymphoma	IMP			manually curated	30720463	
S000000331	YBR127C	VMA2	ORF	DOID:0050873	follicular lymphoma	ISS		HGNC:854	manually curated	30720463	
S000000331	YBR127C	VMA2	ORF	DOID:14219	renal tubular acidosis	IGI		HGNC:853	manually curated	18368028	Fuster DG, et al. (2008) The vacuolar-ATPase B1 subunit in distal tubular acidosis: novel mutations and mechanisms for dysfunction. Kidney Int 73(10):1151-8
S000000331	YBR127C	VMA2	ORF	DOID:14219	renal tubular acidosis	IGI		HGNC:853	manually curated	25164082	Zhang J, et al. (2014) Incomplete distal renal tubular acidosis from a heterozygous mutation of the V-ATPase B1 subunit. Am J Physiol Renal Physiol 307(9):F1063-71
S000000331	YBR127C	VMA2	ORF	DOID:14219	renal tubular acidosis	ISS		HGNC:853	manually curated	18368028	Fuster DG, et al. (2008) The vacuolar-ATPase B1 subunit in distal tubular acidosis: novel mutations and mechanisms for dysfunction. Kidney Int 73(10):1151-8
S000000331	YBR127C	VMA2	ORF	DOID:14219	renal tubular acidosis	ISS		HGNC:853	manually curated	25164082	Zhang J, et al. (2014) Incomplete distal renal tubular acidosis from a heterozygous mutation of the V-ATPase B1 subunit. Am J Physiol Renal Physiol 307(9):F1063-71
S000000339	YBR135W	CKS1	ORF	DOID:1324	lung cancer	ISS		HGNC:19083	manually curated	27558135	Reid RJ, et al. (2016) A Synthetic Dosage Lethal Genetic Interaction Between CKS1B and PLK1 Is Conserved in Yeast and Human Cancer Cells. Genetics 204(2):807-819
S000000339	YBR135W	CKS1	ORF	DOID:1612	breast cancer	ISS		HGNC:19083	manually curated	27558135	Reid RJ, et al. (2016) A Synthetic Dosage Lethal Genetic Interaction Between CKS1B and PLK1 Is Conserved in Yeast and Human Cancer Cells. Genetics 204(2):807-819
S000000339	YBR135W	CKS1	ORF	DOID:3571	liver cancer	ISS		HGNC:19083	manually curated	27558135	Reid RJ, et al. (2016) A Synthetic Dosage Lethal Genetic Interaction Between CKS1B and PLK1 Is Conserved in Yeast and Human Cancer Cells. Genetics 204(2):807-819
S000000340	YBR136W	MEC1	ORF	DOID:0050569	Seckel syndrome	ISS		HGNC:882	manually curated	33742106	
S000000340	YBR136W	MEC1	ORF	DOID:0060060	non-Hodgkin lymphoma	IMP			manually curated	33742106	
S000000340	YBR136W	MEC1	ORF	DOID:0060060	non-Hodgkin lymphoma	ISS		HGNC:795	manually curated	33742106	
